kanwil,nama_upt
Aceh,BAPAS KELAS I BANDA ACEH
Aceh,BAPAS KELAS II KUTACANE
Aceh,BAPAS KELAS II LHOK SEMAWE
Aceh,LAPAS KELAS IIA BANDA ACEH
Aceh,LAPAS KELAS IIA LHOK SEUMAWE
Aceh,LAPAS KELAS IIB BIREUEN
Aceh,LAPAS KELAS IIB BLANGKEJEREN
Aceh,LAPAS KELAS IIB BLANGPIDIE
Aceh,LAPAS KELAS IIB IDI
Aceh,LAPAS KELAS IIB KOTA BAKTI
Aceh,LAPAS KELAS IIB KUALA SIMPANG
Aceh,LAPAS KELAS IIB KUTACANE
Aceh,LAPAS KELAS IIB LANGSA
Aceh,LAPAS KELAS IIB LHOK SUKON
Aceh,LAPAS KELAS IIB MEULABOH
Aceh,LAPAS KELAS III CALANG
Aceh,LAPAS KELAS III LHOK NGA
Aceh,LAPAS KELAS III SINABANG
Aceh,LAPAS NARKOTIKA KELAS IIB LANGSA
Aceh,LAPAS PEREMPUAN KELAS IIB SIGLI
Aceh,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDA ACEH
Aceh,RUTAN KELAS IIB BANDA ACEH
Aceh,RUTAN KELAS IIB BENER MERIAH
Aceh,RUTAN KELAS IIB JANTHO
Aceh,RUTAN KELAS IIB SABANG
Aceh,RUTAN KELAS IIB SIGLI
Aceh,RUTAN KELAS IIB SINGKEL
Aceh,RUTAN KELAS IIB TAKENGON
Aceh,RUTAN KELAS IIB TAPAKTUAN
Bali,BAPAS KELAS I DENPASAR
Bali,BAPAS KELAS II KARANGASEM
Bali,LAPAS KELAS IIA KEROBOKAN
Bali,LAPAS KELAS IIA NARKOTIKA BANGLI
Bali,LAPAS KELAS IIB KARANGASEM
Bali,LAPAS KELAS IIB SINGARAJA
Bali,LAPAS KELAS IIB TABANAN
Bali,LAPAS PEREMPUAN KELAS IIA KEROBOKAN
Bali,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II KARANGASEM
Bali,RUTAN KELAS IIB BANGLI
Bali,RUTAN KELAS IIB GIANYAR
Bali,RUTAN KELAS IIB KLUNGKUNG
Bali,RUTAN KELAS IIB NEGARA
Banten,BAPAS KELAS I SERANG
Banten,BAPAS KELAS I TANGERANG
Banten,BAPAS KELAS II CIANGIR
Banten,LAPAS KELAS I TANGERANG
Banten,LAPAS KELAS IIA CILEGON
Banten,LAPAS KELAS IIA PEMUDA TANGERANG
Banten,LAPAS KELAS IIA PEREMPUAN TANGERANG
Banten,LAPAS KELAS IIA SERANG
Banten,LAPAS KELAS IIA TANGERANG
Banten,LAPAS KELAS III RANGKAS BITUNG
Banten,LAPAS TERBUKA KELAS IIB CIANGIR
Banten,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I TANGERANG
Banten,RUTAN KELAS I TANGERANG
Banten,RUTAN KELAS IIB PANDEGLANG
Banten,RUTAN KELAS IIB SERANG
Bengkulu,BAPAS KELAS I BENGKULU
Bengkulu,LAPAS KELAS IIA BENGKULU
Bengkulu,LAPAS KELAS IIA CURUP
Bengkulu,LAPAS KELAS IIB ARGAMAKMUR
Bengkulu,LAPAS PEREMPUAN KELAS IIB BENGKULU
Bengkulu,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BENGKULU
Bengkulu,RUTAN KELAS IIB BENGKULU
Bengkulu,RUTAN KELAS IIB MANNA
D. I. Yogyakarta,BAPAS KELAS I YOGYAKARTA
D. I. Yogyakarta,BAPAS KELAS II WONOSARI
D. I. Yogyakarta,LAPAS KELAS IIA NARKOTIKA YOGYAKARTA
D. I. Yogyakarta,LAPAS KELAS IIA YOGYAKARTA
D. I. Yogyakarta,LAPAS KELAS IIB SLEMAN
D. I. Yogyakarta,LAPAS KELAS IIB WONOSARI
D. I. Yogyakarta,LAPAS PEREMPUAN KELAS IIB YOGYAKARTA
D. I. Yogyakarta,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II YOGYAKARTA
D. I. Yogyakarta,RUTAN KELAS IIA YOGYAKARTA
D. I. Yogyakarta,RUTAN KELAS IIB BANTUL
D. I. Yogyakarta,RUTAN KELAS IIB WATES
DKI Jakarta,BAPAS KELAS I JAKARTA BARAT
DKI Jakarta,BAPAS KELAS I JAKARTA PUSAT
DKI Jakarta,BAPAS KELAS I JAKARTA SELATAN
DKI Jakarta,BAPAS KELAS I JAKARTA TIMUR UTARA
DKI Jakarta,LAPAS KELAS I CIPINANG
DKI Jakarta,LAPAS KELAS IIA SALEMBA
DKI Jakarta,LAPAS NARKOTIKA KELAS II A JAKARTA
DKI Jakarta,LAPAS PEREMPUAN KELAS IIA JAKARTA
DKI Jakarta,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II JAKARTA
DKI Jakarta,RUMAH SAKIT UMUM PENGAYOMAN CIPINANG
DKI Jakarta,RUTAN KELAS I CIPINANG
DKI Jakarta,RUTAN KELAS I JAKARTA PUSAT
DKI Jakarta,RUTAN KELAS I PONDOK BAMBU
Gorontalo,BAPAS KELAS II GORONTALO
Gorontalo,LAPAS KELAS IIA GORONTALO
Gorontalo,LAPAS KELAS IIB BOALEMO
Gorontalo,LAPAS KELAS IIB PAHUWATO
